charname,birthname,universes,superpowers
Jubilee,Jubilation Lee,Marvel Universe,energy blasts
Aero,Melody Guthrie,Marvel Universe,flight
Icarus,Joshua Guthrie,Marvel Universe,"flight, healing factor"
Bishop,Lucas Bishop,"Earth-1191, Marvel Universe","energy manipulation, superhuman durability, superhuman strength"
Captain Britain,Brian Braddock,"Earth-616, Marvel Universe","flight, superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman strength, precognition"
Warren Worthington III,Warren Kenneth Worthington III,"Earth-616, Marvel Universe","flight, healing factor"
Mister Negative,Martin Li,"Earth-616, Marvel Universe","superhuman agility / reflexes, mind control, superhuman strength"
High Evolutionary,Herbert Edgar Wyndham,Marvel Universe,"technopathy, clairvoyance, astral projection, psychokinesis, telepathy"
Ultimate Wolverine,James Howlett,Marvel Universe,"superhuman endurance, superhuman longevity, superhuman senses, superhuman agility / reflexes, superhuman strength, healing factor"
Warpath,James Proudstar,"Earth-616, Marvel Universe","flight, superhuman speed, superhuman strength"
Ghost Rider,John Blaze,Marvel Universe,"immortality, superhuman strength, pyrokinesis, healing factor"
Genesis,Tyler Dayspring,Marvel Universe,telepathy
"Morbius, the Living Vampire",Michael Morbius,Marvel Universe,"superhuman endurance, superhuman senses, superhuman agility / reflexes, superhuman speed, superhuman strength, healing factor"
Grand Director,William Burnside,Marvel Universe,superhuman strength
Spider-Woman,Jessica Miriam Drew,"Earth-616, Marvel Universe","superhuman durability, superhuman speed, superhuman strength"
Ultimate Cyclops,Scott Summers,Marvel Universe,optic blasts
Menace,Lily Hollister,Marvel Universe,superhuman strength
Blob,Frederick J. Dukes,"Earth-616, Marvel Universe","superhuman strength, superhuman durability"
Firestar,Angelica Jones,Marvel Universe,"flight, pyrokinesis"
Aurora,Jeanne-Marie Beaubier,"Earth-616, Marvel Universe","flight, superhuman agility / reflexes, superhuman durability, superhuman speed, photokinesis"
Spider-Girl,May Parker,Marvel Universe,"superhuman speed, superhuman strength"
Old Man Logan,James Howlett,Marvel Universe,"superhuman longevity, superhuman senses, superhuman agility / reflexes, superhuman strength, healing factor"
Blade,Eric Brooks,Marvel Universe,"superhuman longevity, superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, healing factor"
Nova,Frankie Raye,Marvel Universe,"energy manipulation, flight, pyrokinesis"
Cable,Nathan Christopher Charles Summers,"Earth-616, Marvel Universe","technopathy, psychokinesis, telepathy"
Copycat,Vanessa Geraldine Carlysle,Marvel Universe,"power mimicry or absorption, shapeshifting"
Kraven the Hunter,Сергей Николаевич Кравинов,"Earth-616, Marvel Universe","superhuman speed, superhuman strength"
Hulk,Bruce Banner,"Earth-616, Marvel Universe",healing factor
Tiger Shark,Todd Arliss,Marvel Universe,"waterbreathing, superhuman durability, superhuman strength"
Nightcrawler,Kurt Wagner,"Earth-616, Marvel Universe","superhuman agility / reflexes, teleportation"
Spider-Man 2099,Miguel O'Hara,Marvel Universe,"superhuman senses, superhuman agility / reflexes, superhuman speed, superhuman strength, healing factor"
Cassandra Nova,Cassandra Xavier,Marvel Universe,"intangibility, telepathy"
Domino,http://www.wikidata.org/.well-known/genid/019c2aed05b2f1ba6f4917d9e98d9f91,Marvel Universe,probability manipulation
Dazzler,Alison Blaire,Marvel Universe,photokinesis
Wolverine,James Howlett,"Earth-616, Marvel Universe","superhuman longevity, superhuman senses, superhuman agility / reflexes, superhuman strength, healing factor"
Ultimate Black Cat,Felicia Hardy,Marvel Universe,"enhanced smell, superhuman agility / reflexes, probability manipulation, night vision"
Thunderbolt Ross,Thaddeus E. Ross,Marvel Universe,"superhuman durability, superhuman speed, superhuman strength, healing factor"
Satana,Satana Hellstrom,Marvel Universe,"pyrokinesis, levitation, force field"
Tigra,Greer Grant,Marvel Universe,"superhuman senses, superhuman agility / reflexes, superhuman speed, superhuman strength"
Amanda Sefton,Jimaine Szardos,Marvel Universe,"shapeshifting, teleportation"
Emma Frost,Emma Grace Frost,"Earth-616, Marvel Universe","inorganic, superhuman durability, superhuman strength, telepathy"
Korvus,Korvus Rook'shir,Marvel Universe,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength"
Proteus,Kevin MacTaggert,"Earth-616, Marvel Universe","reality warping, body hopping"
Bella Donna,Bella Donna Boudreaux,Marvel Universe,"energy blasts, astral projection"
Siryn,Theresa Rourke Cassidy,"Earth-616, Marvel Universe",sonic scream
Iron Man,Anthony Edward Carbonell Stark,"Earth-616, Marvel Universe","flight, armor, superhuman strength"
Cyclops,Scott Summers,"Earth-616, Marvel Universe",optic blasts
Luke Cage,Carl Lucas,"Earth-616, Marvel Universe","superhuman durability, superhuman strength"
Ultimate Rogue,Marian Carlyle,Marvel Universe,"superhuman endurance, superhuman durability, power mimicry or absorption, superhuman speed, superhuman strength"
Sauron,Karl Lykos,"Earth-616, Marvel Universe","flight, superhuman durability, superhuman speed, superhuman strength"
Kiwi Black,Marcus Skarr,Marvel Universe,teleportation
Eddie Brock,Edward Charles Brock,"Earth-616, Marvel Universe","superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, healing factor"
Human Torch,Jonathan Lowell Spencer Storm,"Earth-616, Marvel Universe","flight, pyrokinesis"
Invisible Woman,Susan Storm,"Earth-616, Marvel Universe","invisibility, force field"
Terrax,Tyros,Marvel Universe,"energy manipulation, superhuman durability"
Nocturne,Talia Josephine Wagner,Marvel Universe,"superhuman agility / reflexes, body hopping, telepathy"
Maker,Reed Richards,Marvel Universe,"elasticity, immortality"
Arclight,Philippa Sontag,Marvel Universe,"superhuman durability, superhuman strength"
Ultimate Beast,Henry McCoy,Marvel Universe,"enhanced smell, superhuman agility / reflexes, superhuman speed, superhuman strength"
Mac Gargan,MacDonald Gargan,"Earth-616, Marvel Universe","superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength"
Black Cat,Felicia Hardy,"Earth-616, Marvel Universe",probability manipulation
Oya,Idie Okonkwo,Marvel Universe,thermokinesis
Hydro-Man,Morris Bench,Marvel Universe,hydrokinesis
Red Lotus,Paul Hark,Marvel Universe,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength"
Ultimate Iceman,Robert Drake,Marvel Universe,cryokinesis
Silvermane,Silvio Manfredi,Marvel Universe,"superhuman senses, superhuman durability, superhuman strength"
Chameleon,Дмитрий Анатолий Николаевич Смердяков Кравинов,"Earth-616, Marvel Universe",shapeshifting
Negasonic Teenage Warhead,Ellie Phimister,"Earth-616, Marvel Universe","reality warping, precognition, telepathy"
Blink,Clarice Ferguson,Marvel Universe,teleportation
Purple Man,Zebediah Killgrave,Marvel Universe,"mind control, healing factor"
Thornn,Lucia Callasantos,"Earth-616, Marvel Universe","superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength"
Juggernaut,Cain Marko,"Earth-616, Marvel Universe","superhuman durability, immortality, superhuman strength"
Sabretooth,Victor Creed,Marvel Universe,"enhanced smell, superhuman longevity, superhuman senses, superhuman durability, superhuman strength, healing factor"
Spider-Woman,Martha Franklin,Marvel Universe,"flight, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, telepathy"
Electro,Maxwell Dillon,"Earth-616, Marvel Universe",electrokinesis
Betsy Braddock,Elizabeth Braddock,"Earth-616, Marvel Universe","precognition, psychokinesis, telepathy"
Storm,Ororo Munroe,"Earth-616, Marvel Universe",weather manipulation
Polaris,Lorna Dane,"Earth-616, Marvel Universe",magnetism manipulation
Ezekiel,Ezekiel Sims,Marvel Universe,"superhuman senses, superhuman agility / reflexes, superhuman speed, superhuman strength"
Rachel Summers,Rachel Anne Summers,"Earth-811, Earth-616, Marvel Universe","psychokinesis, telepathy"
Professor X,Charles Francis Xavier,"Earth-616, Marvel Universe","memory manipulation, telepathy"
Franklin Richards,Franklin Benjamin Richards,"Earth-616, Marvel Universe","energy manipulation, reality warping, teleportation, mind control, immortality, invulnerability, astral projection, precognition, resurrection, psychokinesis, time travel, telepathy"
Spider-Woman,Gwendolyne Maxine Stacy,Marvel Universe,"superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength"
Havok,Alexander Summers,"Earth-616, Marvel Universe",energy blasts
Colossus,Пётр Николаевич Распутин,"Earth-616, Marvel Universe","inorganic, superhuman durability, superhuman strength"
Strong Guy,Guido Carosella,Marvel Universe,kinetic absorption
Deadpool,Wade Winston Wilson,Marvel Universe,healing factor
Deathbird,Cal'syee Neramani,"Earth-616, Marvel Universe","flight, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength"
Abomination,Emil Blonsky,Marvel Universe,"superhuman durability, superhuman speed, superhuman strength, healing factor"
Ultimate Colossus,Пётр Николаевич Распутин,Marvel Universe,"superhuman endurance, inorganic, superhuman durability, superhuman strength"
Meggan,Meggan Puceanu,"Earth-616, Marvel Universe","flight, power mimicry or absorption, shapeshifting, superhuman strength"
Sunspot,Roberto da Costa,"Earth-616, Marvel Universe","flight, superhuman strength, photokinesis, thermokinesis"
Sasquatch,Walter Langkowski,Marvel Universe,"superhuman durability, superhuman strength, healing factor"
Holocaust,William Rolfson,Marvel Universe,"energy blasts, flight, superhuman agility / reflexes, superhuman durability, superhuman strength"
Shaman,Michael Twoyoungmen,"Earth-616, Marvel Universe",levitation
Jessica Jones,Jessica Campbell Jones,Marvel Universe,"flight, superhuman durability, superhuman strength"
Jamie Braddock,James Braddock Jr.,"Earth-616, Marvel Universe",reality warping
Magik,Ильяна Николаевна Распутина,"Earth-616, Marvel Universe","teleportation, magic in fiction"
Valeria Richards,Valeria Meghan Richards,"Earth-616, Marvel Universe","energy manipulation, teleportation, invisibility, force field, time travel"
Vermin,Edward Whelan,Marvel Universe,"superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman strength"
Beast,Henry Philip McCoy,"Earth-616, Marvel Universe","superhuman senses, superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength"
Hyperstorm,Jonathan Reed Richards,Marvel Universe,"magnetism manipulation, electrokinesis"
Ultimate Green Goblin,Norman Osborn,Marvel Universe,"superhuman durability, superhuman speed, immortality, superhuman strength, healing factor"
Shatterstar,Gaveedra Seven,"Mojoverse, Earth-616, Marvel Universe","superhuman agility / reflexes, superhuman durability, superhuman speed, superhuman strength, healing factor"
Rusty Collins,Russell Collins,Marvel Universe,pyrokinesis
Mister Fantastic,Reed Richards,"Earth-616, Marvel Universe",elasticity
Betty Ross,Elizabeth Ross,Marvel Universe,"superhuman durability, superhuman speed, superhuman strength, healing factor"
Iceman,Robert Louis Drake,"Earth-616, Marvel Universe",cryokinesis
